country,confirmed,death,recovered,active,population
Afghanistan,38872,1436,32505,4931,38041754
Albania,11948,347,6788,4813,2854191
Algeria,49194,1654,34675,12865,43053054
Andorra,1483,53,1054,376,77142
Angola,3789,144,1405,2240,31825295
Antigua and Barbuda,95,3,91,1,97118
Argentina,601713,12460,456347,132906,44938712
Armenia,46671,925,42231,3515,2957731
Australia,26861,837,23854,2170,25364307
Austria,35853,758,28044,7051,8877067
Azerbaijan,38777,571,36289,1917,10023318
Bahamas,3177,69,1626,1482,389482
Bahrain,63189,217,56087,6885,1641172
Bangladesh,344264,4859,250412,88993,163046161
Barbados,185,7,171,7,287025
Belarus,74987,771,72967,1249,9466856
Belgium,97976,9936,18854,69186,11484055
Belize,1567,19,742,806,390353
Benin,2280,40,1950,290,11801151
Bhutan,246,0,175,71,763092
Bolivia,129419,7511,87716,34192,11513100
Bosnia and Herzegovina,24605,747,17219,6639,3301000
Botswana,2567,13,624,1930,2303697
Brazil,4455386,134935,3873934,446517,211049527
Brunei,145,3,141,1,433285
Bulgaria,18544,749,13391,4404,6975761
Burkina Faso,1767,56,1166,545,20321378
Myanmar,4299,61,944,3294,54045420
Burundi,473,1,374,98,11530580
Cabo Verde,5063,49,4465,549,549935
Cambodia,275,0,274,1,16486542
Cameroon,20303,415,18837,1051,25876380
Canada,142879,9249,124984,NA,37589262
Central African Republic,4782,62,1830,2890,4745185
Chad,1115,81,962,72,15946876
Chile,441150,12142,413928,15080,18952038
China,90294,4736,85181,377,1397715000
Colombia,743945,23665,615457,104823,50339443
Comoros,470,7,449,14,850886
"Congo, Rep.",4934,88,3887,959,5380508
"Congo, Dem. Rep.",10442,267,9840,335,86790567
Costa Rica,60818,666,22662,37490,5047561
Cote d'Ivoire,19158,120,18330,708,25716544
Croatia,14279,238,11933,2108,4067500
Cuba,4933,109,4230,594,11333483
Cyprus,1558,22,1282,254,1198575
Czech Republic,44155,489,23377,20289,10669709
Denmark,21836,635,17344,3857,5818553
Djibouti,5399,61,5333,5,973560
Dominica,24,0,18,6,71808
Dominican Republic,106136,2022,79363,24751,10738958
Ecuador,122257,11029,97063,14165,17373662
Egypt,101641,5715,87158,8768,100388073
El Salvador,27249,801,20392,6056,6453553
Equatorial Guinea,5002,83,4509,410,1355986
Estonia,2778,64,2337,377,1326590
